original_text,source,pornografi,sara,radikalisme,pencemaran_nama_baik
"1.BUKAN CuMa SPANDUK PROF,VIDEO2 ORASI MEREKA, BUKU2 MEREKA dan lain lain. ITU udah SaNGAT jelas. SaYa HERAN SaMa RaKYAT2 YanG MASIH TOLOL.Udah Jelas2 ADA NIAT DaRi HTI YanG INGIN TEGAKKAN KHILAFAH & GANTI NKRI MASIH NGELES GAK ADA. LAH MAU TEGAKKAN KHILAFAH AJA MUNAFIK.APANYA KHILAFAH?",twitter,0,0,1,1
gua sange  ' gatel yah tetek ' memek Y di ranjang tempat tidur di kamar sambil telanjang bugil mantap banget tuh bunda gede banget tuh lebat ga yah bulu jembut,twitter,1,0,0,0
Pertama kali denger lagunya enak bangitu in dan pengen praktekin gerakannya...eh langsung hafal gua lagunya..karena enak di denger mungkin langsung pada hafal lagunya. Bakalan viral in,instagram,0,0,0,0
"astajim, ini pasti yang kasih penghargaan ke ibu sri adalah antek asing wahyudi, dan minta ha disholatin bangke nye 
",kaskus,0,0,0,1
"beda kalo disini kalo komplain langsung di bully sama  disini.. maka nya kl disini FR nya harus yang bagus2 gan
",kaskus,0,0,0,0
" kalo keberagamannya ada tapi ga dianggep, banyak tapi dilupain, ada tapi dirusak, gimana ? Papua aja mungkin sebentar lagi pisah",twitter,0,0,0,0
Anehnya anak ini RT emosi jiwa bangsat anjing tai babi brengsek pakbis ngehe shit kontol banteng sepong tok ...,twitter,1,0,0,1
yupss setuju .. bodoamat  tetangga sebelah bilang pencitraan karena faktanya  semenjak jadi walikota pun dia udah sederhana banget,instagram,0,0,0,0
"JAKARTA- Poling Kebijakan Publik (PPP),  melakukan  survei nasional yang dilakukan antara 25 juni dan 27 juni terhadap pemilih Partai Republik, hasilnya menakjubkan 97% persen dari Partai Republik ingin mengubah Konstitusi, dan menetapkan Kristen sebagai agama resmi nasional.  Hanya 3 persen menentang menjadikan agama Kristen sebagai agama nasional. Partai Republik tampaknya tidak ada keraguan mengubah Amerika Serikat menjadi negara Kristen.  Hasil jajak pendapat Crosstabs mengungkapkan bahwa dukungan untuk menjadikan agama Kristen sebagai agama resmi terkuat di antara Mike Huckabee (94 persen), Rick Perry (83 persen), dan Ben Carson (78 persen) pendukung.  Survei PPP juga menemukan bahwa 2/3 pemilih Partai Republik tidak percaya pada pemanasan global, dan 49 persen tidak percaya pada teori evolusi.  Sementara mayoritas orang Amerika mengidentifikasi diri sebagai orang Kristen, kebanyakan orang Amerika di luar GOP (Republik), akan tidak nyaman dengan teologi Dominionist konservatif. Dominionism panggilan untuk memaksakan teokrasi (negara agama) di Amerika di mana agama Kristen dinyatakan sebagai agama resmi, dan bangsa Amerika diatur oleh   hukum Alkitab  .  Pemilih Partai Republik tampaknya terlalu bersemangat untuk merangkul teologi Dominionist, meskipun demikian akan melanggar Amandemen Pertama Konstitusi AS. Kebebasan Agama adalah salah satu prinsip dasar didirikan negara Amerika pada dokumen pendiri kami.  Pemilih Republik bersiap-siap untuk memilih calon yang akan mengganti atau melakukan Amandemen konstitusi Amerika dan mengakhiri kebebasan beragama. Kalangan Independen dan Demokrat harus siap untuk menghentikan calon yang akan membongkar Klausul Pendirian, apakah itu Mike Huckabee, Ben Carson atau salah satu kandidat presiden Partai Republik lainnya.  Amerika adalah negara yang penduduknya sebagian besar beragama Kristen dan dibanding dengan Eropa, orang Amerika tampak lebih religius.  Contohnya, banyak presiden Amerika selesai berpidato, tidak lupa mengatakan, ‘God Bless America,’ dan walaupun Undang-Undang Dasar Amerika dengan jelas memisahkan fungsi agama dan pemerintahan, orang bisa melihat bahwa pemisahan itu kadang-kadang tidak begitu jelas.  Sidang-sidang Kongres Amerika selalu dimulai dengan pembacaan doa, yang dipusatkan pada perlunya mendapat apa yang disebut ‘bimbingan dari Yang Mahakuasa’ untuk menjalankan tugas-tugas penting. Bahkan dalam uang kertas dollar Amerika ada tulisan yang berbunyi “In God We Trust.”  Dalam kaitan kepercayaan ini, di Amerika pernah diadakan studi jangka-panjang yang menyangkut fungsi doa pada pasien-pasien yang terkena penyakit jantung.  Kata laporan dalam harian International Herald Tribune, doa-doa yang dipanjatkan oleh orang-orang Kristen bagi kesehatan pasien yang akan, dan telah menjalani operasi jantung, tidak ada dampaknya sama sekali.  Bahkan, kata laporan tadi, pasien yang baru menjalani operasi jantung dan mendapat kiriman doa, justru menderita lebih banyak komplikasi kesehatan daripada pasien yang tidak didukung oleh doa-doa  Kata dari Richard Sloan, pakar kedokteran pada Universitas Columbia di New York, usaha untuk menghubungkan kepercayaan agama dan ilmu kedokteran tidak ada gunanya, karena keduanya bertolak dari sudut pandangan yang berbeda.  Ke-1,800 orang pasien yang dilibatkan dalam riset tentang doa itu berada di enam rumah sakit itu dibagi dalam tiga kelompok. Dua kelompok mendapat kiriman doa, dan satu kelompok tidak mendapat doa apapun.  Separuh dari pasien yang mendapat kiriman doa itu diberi tahu bahwa ada orang yang memanjatkan doa bagi mereka, sedangkan separuh sisanya hanya diberi tahu bahwa mungkin ada orang yang menyumbang doa.  Limapuluh sembilan persen pasien yang diberi tahu bahwa mereka telah didoakan, justru menderita komplikasi setelah operasi jantung, dibanding 51 persen pada kelompok yang tidak mendapat doa. Pasien-pasien kelompok pertama itu mungkin berpikir, “apakah penyakit saya demikian parahnya sehingga perlu bantuan doa dari orang-orang yang tidak dikenal?”  
",kaskus,0,1,0,0
"Mbak, please,mohon dengan sangat berenti   dong pamer susu kayak gitu, kita yang perempuan asli malu mbak mah kayak punya barang baru aja dipamer2rin..",instagram,1,0,0,0
